date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ
2018-07-13,279.19,279.93,278.66,279.59,369539.22,279.5235,159838,274.6085,280.8313,268.3857,268.4903,62.6495,279.16,280.4,275.0,383.9,117.61,480.5,1249.0
2018-07-16,279.64,279.81,278.84,279.34,303328.72,279.295,131636,274.719,281.1905,268.2475,268.5589,61.8188,279.16,280.4,275.0,383.9,117.55,475.5,1259.0
2018-07-17,278.47,280.91,278.41,280.47,399920.68,280.0505,168943,274.9145,281.8184,268.0106,268.6572,64.1337,280.4,281.15,280.0,383.9,116.28,466.5,1234.0
2018-07-18,280.59,281.18,280.06,281.06,300227.11,280.783,126747,275.1925,282.5979,267.7871,268.7336,65.3161,280.4,281.15,280.0,383.9,116.31,459.5,1242.0
2018-07-19,280.31,280.74,279.46,280.0,443417.06,280.155,184894,275.394,283.0868,267.7012,268.8352,61.3997,279.16,280.4,280.0,383.9,115.81,473.5,1262.0
2018-07-20,279.76,280.48,279.5,279.68,432835.29,279.953,179298,275.666,283.5585,267.7735,268.9298,60.2257,279.16,280.4,275.0,383.9,116.56,476.5,1264.0
2018-07-23,279.45,280.43,279.06,280.2,340261.17,279.8725,147167,275.939,284.0589,267.8191,269.0065,61.5135,279.16,280.4,280.0,383.9,116.0,472.5,1252.0
2018-07-24,281.79,282.56,280.63,281.61,466779.5,281.645,195549,276.4695,284.6157,268.3233,269.1232,64.838,281.31,281.87,280.0,383.9,116.04,461.0,1236.0
2018-07-25,281.33,284.37,281.28,284.01,508550.68,282.736,202163,277.09,285.5428,268.6372,269.2718,69.6445,283.47,284.37,280.0,383.9,116.68,457.0,1184.0
2018-07-26,283.21,284.11,283.09,283.34,383194.72,283.482,176602,277.7895,285.8718,269.7072,269.3769,66.8954,282.39,283.47,280.0,383.9,115.77,459.5,1236.0
2018-07-27,283.71,283.82,280.38,281.42,578595.71,281.755,258839,278.316,285.8877,270.7443,269.5112,59.631,281.31,281.87,280.0,383.9,115.83,478.5,1288.0
2018-07-30,281.49,281.69,279.36,279.95,469489.95,280.258,194540,278.7495,285.6206,271.8784,269.6048,54.7306,279.16,280.4,275.0,383.9,115.65,499.0,1343.0
2018-07-31,280.81,282.02,280.38,281.33,486398.13,281.2235,211404,279.223,285.3998,273.0462,269.7127,58.2032,281.31,281.87,280.0,383.9,115.99,478.5,1318.0
2018-08-01,281.56,282.13,280.13,280.86,406275.57,281.121,185799,279.721,284.6039,274.8381,269.7977,56.6104,280.4,281.15,280.0,383.9,115.14,470.5,1299.0
2018-08-02,279.38,282.58,279.16,282.39,424911.32,281.3385,183142,280.185,284.1429,276.2271,269.8974,60.4086,282.39,283.47,280.0,383.9,114.52,464.0,1247.0
2018-08-03,282.53,283.65,282.33,283.6,344825.09,283.1165,151800,280.594,284.17,277.018,269.9848,63.1555,283.47,284.37,280.0,383.9,114.92,453.0,1236.0
2018-08-06,283.56,284.99,283.2,284.64,298993.55,284.3715,118466,280.931,284.6934,277.1686,270.0655,65.3789,284.37,284.82,280.0,383.9,114.33,428.0,1213.0
2018-08-07,285.39,286.01,285.24,285.58,324554.2,285.672,129601,281.265,285.4132,277.1168,270.1576,67.2997,285.54,286.7,285.0,383.9,114.59,414.5,1201.0
2018-08-08,285.39,285.91,284.94,285.46,290110.57,285.5115,111985,281.695,285.7083,277.6817,270.2384,66.7902,285.43,285.54,285.0,383.9,114.91,404.5,1199.0
2018-08-09,285.53,285.97,284.91,285.07,243388.09,285.511,103316,281.98,286.1005,277.8595,270.3039,65.0664,284.82,285.43,285.0,383.9,114.74,413.0,1200.0
2018-08-10,283.45,284.06,282.36,283.16,566632.61,283.3,229027,282.1585,286.1569,278.1601,270.4345,57.2705,282.39,283.47,280.0,383.9,114.69,443.0,1227.0
2018-08-13,283.47,284.16,281.77,282.1,492477.24,282.7745,210686,282.2965,286.081,278.512,270.5367,53.4434,281.87,282.39,280.0,383.9,112.96,482.5,1231.0
2018-08-14,282.92,284.17,282.05,283.9,329064.36,283.637,147445,282.468,286.2166,278.7194,270.6144,58.5133,283.47,284.37,280.0,383.9,113.07,446.0,1210.0
2018-08-15,282.38,282.54,280.16,281.78,763801.9,281.2165,349556,282.504,286.2114,278.7966,270.7631,51.4121,281.31,281.87,280.0,383.9,111.19,488.0,1252.0
2018-08-16,283.4,285.04,283.36,284.06,482051.21,284.1815,201413,282.707,286.2862,279.1278,270.874,57.3999,283.47,284.37,280.0,383.9,111.1,449.0,1243.0
2018-08-17,283.83,285.57,283.37,285.06,436177.18,284.5735,190181,282.976,286.4105,279.5415,270.9802,59.7432,284.82,285.43,285.0,383.9,112.13,431.0,1241.0
2018-08-20,285.57,285.97,285.06,285.67,278785.2,285.6035,118891,283.2495,286.6269,279.8721,271.0502,61.1472,285.54,286.7,285.0,383.9,112.69,418.5,1244.0
2018-08-21,286.24,287.31,286.1,286.34,477053.58,286.7105,187073,283.486,287.0294,279.9426,271.1738,62.6864,285.54,286.7,285.0,383.9,113.02,432.5,1231.0
2018-08-22,285.88,286.76,285.57,286.17,326022.24,286.261,142394,283.594,287.3216,279.8664,271.2562,62.0151,285.54,286.7,285.0,383.9,113.27,424.5,1217.0
2018-08-23,285.97,286.94,285.43,285.79,357325.21,286.0075,152861,283.7165,287.5618,279.8712,271.3432,60.4565,285.54,286.7,285.0,383.9,112.2,420.0,1223.0
2018-08-24,286.44,287.67,286.38,287.51,409440.48,287.214,170443,284.021,288.0508,279.9912,271.4533,64.7722,287.3,288.66,285.0,383.9,114.16,416.0,1189.0
2018-08-27,288.86,289.9,288.68,289.78,368046.58,289.4855,160658,284.5125,288.8243,280.2007,271.5649,69.5028,289.21,290.34,285.0,383.9,114.59,418.0,1154.0
2018-08-28,290.3,290.42,289.4,289.92,313690.13,289.893,131529,284.942,289.5978,280.2862,271.6596,69.7724,289.21,290.34,285.0,383.9,113.68,418.0,1149.0
2018-08-29,290.16,291.74,289.88,291.48,390149.35,291.168,157872,285.473,290.5489,280.3971,271.786,72.6715,290.34,291.74,290.0,383.9,114.2,417.5,1108.0
2018-08-30,290.94,291.36,289.63,290.3,462198.27,290.624,206459,285.8685,291.1504,280.5866,271.9248,67.4053,289.21,290.34,290.0,383.9,113.64,431.0,1115.0
2018-08-31,289.84,290.81,289.29,290.31,415629.25,289.9945,185290,286.204,291.7144,280.6936,272.048,67.4269,289.21,290.34,290.0,383.9,113.51,420.5,1111.0
2018-09-04,289.84,290.21,288.68,289.84,437562.51,289.475,188972,286.464,292.1428,280.7852,272.1726,65.2443,289.21,290.34,285.0,383.9,112.93,424.5,1126.0
2018-09-05,289.41,289.64,287.89,289.03,494273.84,288.8075,229449,286.6365,292.4063,280.8667,272.3049,61.5468,288.66,289.21,285.0,383.9,113.32,429.0,1171.0
2018-09-06,289.15,289.49,287.0,288.16,507794.33,288.05,230805,286.7715,292.5512,280.9918,272.4317,57.7604,287.3,288.66,285.0,383.9,113.54,448.5,1201.0
2018-09-07,286.99,288.7,286.71,287.6,510862.27,287.617,245344,286.898,292.6337,281.1623,272.5527,55.398,287.3,288.66,285.0,383.9,113.23,460.5,1213.0
2018-09-10,288.76,289.04,287.88,288.1,323574.18,288.3125,156972,287.145,292.6358,281.6542,272.6309,57.0857,287.3,288.66,285.0,383.9,113.15,441.0,1203.0
2018-09-11,287.37,289.55,286.97,289.05,363243.36,288.692,164359,287.4925,292.5226,282.4624,272.7231,60.1696,288.66,289.21,285.0,383.9,113.22,420.5,1176.0
2018-09-12,289.06,289.8,288.23,289.12,463007.46,289.022,208791,287.7535,292.547,282.96,272.8397,60.3954,288.66,289.21,285.0,383.9,114.17,413.0,1187.0
2018-09-13,290.32,291.04,289.99,290.83,384313.2,290.5875,177344,288.206,292.3188,284.0932,272.9452,65.5362,290.34,291.74,290.0,383.9,113.76,394.5,1152.0
2018-09-14,291.06,291.27,290.0,290.88,369681.52,290.757,170087,288.547,292.3473,284.7467,273.0458,65.6765,290.34,291.74,290.0,383.9,113.02,383.0,1160.0
2018-09-17,290.82,290.86,289.03,289.34,435821.61,289.825,190865,288.761,292.2183,285.3037,273.1528,57.8636,289.21,290.34,285.0,383.9,113.61,79.9,1211.0
2018-09-18,289.57,291.58,289.55,290.91,385735.21,290.8885,175057,289.023,292.2927,285.7533,273.2555,62.7312,290.34,291.74,290.0,383.9,113.44,398.0,1180.0
2018-09-19,290.97,291.69,290.82,291.22,345859.43,291.255,164101,289.267,292.4259,286.1081,273.3481,63.6247,290.34,291.74,290.0,383.9,113.88,376.3,1184.0
2018-09-20,292.64,293.94,292.51,293.58,538490.38,293.3265,228904,289.6375,292.9889,286.2861,273.5092,69.6002,292.24,293.62,290.0,383.9,114.27,367.6,1145.0
2018-09-21,293.09,293.22,291.81,291.99,457364.52,292.5095,197003,289.9475,292.9464,286.9486,273.6334,62.1881,291.74,292.24,290.0,383.9,113.49,368.4,1165.0
2018-09-24,291.34,291.5,290.37,291.02,375795.1,290.972,174827,290.123,292.9358,287.3102,273.7289,58.1215,290.34,291.74,290.0,383.9,113.47,368.2,1155.0
2018-09-25,291.53,291.65,290.48,290.75,301339.09,290.989,138535,290.1715,292.9924,287.3506,273.8035,57.0041,290.34,291.74,290.0,383.9,113.65,372.9,1150.0
