,date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ
231,2021-10-14 10:21:00,441.75,441.75,441.66,441.72,664,441.704,352,441.7285,441.8869,441.5701,440.6016,44.5551,441.7,441.76,436.12,443.22,167.93,18.61,8.0
232,2021-10-14 10:22:00,441.72,441.73,441.65,441.66,574,441.695,419,441.712,441.8181,441.6059,440.6039,40.3551,441.65,441.7,436.12,443.22,167.96,18.62,8.0
233,2021-10-14 10:23:00,441.66,441.67,441.6,441.64,549,441.636,360,441.702,441.7949,441.6091,440.6059,39.0342,441.64,441.65,436.12,443.22,167.97,18.64,8.0
234,2021-10-14 10:24:00,441.65,441.7,441.63,441.68,575,441.669,366,441.703,441.7945,441.6115,440.6082,43.0492,441.65,441.7,436.12,443.22,167.95,18.64,7.99
235,2021-10-14 10:25:00,441.68,441.75,441.67,441.72,384,441.71,288,441.7065,441.7949,441.6181,440.6097,46.8207,441.7,441.76,436.12,443.22,167.94,18.62,8.0
236,2021-10-14 10:26:00,441.71,441.76,441.64,441.68,789,441.686,393,441.7035,441.7912,441.6158,440.6128,43.7038,441.65,441.7,436.12,443.22,167.94,18.65,8.0
237,2021-10-14 10:27:00,441.67,441.75,441.64,441.75,871,441.686,375,441.7015,441.7828,441.6202,440.6164,49.9794,441.7,441.76,436.12,443.22,167.94,18.63,8.0
238,2021-10-14 10:28:00,441.74,441.75,441.67,441.68,558,441.721,251,441.702,441.7826,441.6214,440.6185,44.6225,441.65,441.7,436.12,443.22,167.91,18.65,8.0
239,2021-10-14 10:29:00,441.67,441.72,441.6,441.71,701,441.656,464,441.705,441.7821,441.6279,440.6213,47.2328,441.7,441.76,436.12,443.22,167.97,18.65,8.01
240,2021-10-14 10:30:00,441.72,442.0,441.71,441.95,1152,441.912,777,441.72,441.8482,441.5918,440.6268,62.4728,441.93,441.98,436.12,443.22,167.97,18.63,7.99
241,2021-10-14 10:31:00,441.93,442.02,441.93,441.99,441,441.958,278,441.7375,441.9064,441.5686,440.6289,64.3223,441.98,442.02,436.12,443.22,167.94,18.63,7.99
242,2021-10-14 10:32:00,441.99,442.0,441.91,441.98,360,441.945,251,441.7505,441.9493,441.5517,440.6307,63.48,441.98,442.02,436.12,443.22,167.94,18.61,7.99
243,2021-10-14 10:33:00,441.97,442.04,441.97,442.02,986,442.015,384,441.766,441.9957,441.5363,440.6356,65.4301,442.02,442.02,436.12,443.22,167.96,18.61,7.98
244,2021-10-14 10:34:00,442.02,442.04,441.98,442.01,598,442.002,334,441.781,442.0323,441.5297,440.6385,64.5028,441.98,442.02,436.12,443.22,167.99,18.62,7.98
245,2021-10-14 10:35:00,442.02,442.09,441.98,442.06,791,442.046,435,441.7995,442.0746,441.5244,440.6425,67.0196,442.06,442.06,436.12,443.22,168.0,18.61,7.99
246,2021-10-14 10:36:00,442.05,442.08,442.03,442.08,459,442.052,207,441.815,442.1155,441.5145,440.6448,67.997,442.06,442.11,436.12,443.22,168.01,18.61,7.99
247,2021-10-14 10:37:00,442.08,442.14,442.06,442.08,943,442.098,425,441.8305,442.1514,441.5096,440.6496,67.997,442.06,442.11,436.12,443.22,168.0,18.61,7.99
248,2021-10-14 10:38:00,442.08,442.15,442.06,442.13,482,442.117,248,441.851,442.1928,441.5092,440.6521,70.5295,442.11,442.15,436.12,443.22,168.03,18.61,7.98
249,2021-10-14 10:39:00,442.12,442.12,442.03,442.06,284,442.066,201,441.8675,442.2161,441.5189,440.6535,63.0118,442.06,442.06,436.12,443.22,168.02,18.61,7.98
250,2021-10-14 10:40:00,442.05,442.1,442.02,442.1,568,442.052,315,441.885,442.2432,441.5268,440.6564,65.2887,442.06,442.11,436.12,443.22,168.03,18.59,7.99
251,2021-10-14 10:41:00,442.1,442.14,442.07,442.13,372,442.098,219,441.9055,442.2705,441.5405,440.6583,66.9327,442.11,442.15,436.12,443.22,168.02,18.58,7.98
252,2021-10-14 10:42:00,442.13,442.18,442.13,442.14,440,442.155,292,441.9295,442.2899,441.5691,440.6606,67.4855,442.11,442.15,436.12,443.22,168.02,18.59,7.97
253,2021-10-14 10:43:00,442.12,442.2,442.11,442.19,779,442.167,528,441.957,442.3086,441.6054,440.6648,70.1707,442.15,442.2,436.12,443.22,168.01,18.59,7.97
254,2021-10-14 10:44:00,442.19,442.2,442.11,442.18,581,442.159,357,441.982,442.3222,441.6418,440.6679,68.9444,442.15,442.2,436.12,443.22,168.0,18.58,7.98
255,2021-10-14 10:45:00,442.18,442.19,442.12,442.19,615,442.158,418,442.0055,442.3348,441.6762,440.6711,69.5181,442.15,442.2,436.12,443.22,168.0,18.57,7.97
